post_n,id,owner_id,answer_to,text,likes_count,created_at
89,17980835813650068,32903293211,,600,1,1710078669000
90,17858012202124060,5873601203,,2000,1,1710143839000
90,18011215397200120,,17858012202124060,@mylovanov_t перебито,0,1710145537000
90,18013574330511294,,17858012202124060,5000,2,1710145481000
91,18037328734661013,55494076474,,600,2,1710165593000
92,18054315118562698,1903966431,,1050,0,1710234856000
92,17886600402007060,,18054315118562698,@maxzherev вже закінчився аукціон :(,0,1710235056000
93,17978274416657447,5903773483,,1000,3,1710166619000
94,18057500392493086,2690985038,,300,0,1710088772000
95,17881018818034366,7510824948,,500грн,1,1710086974000
96,18258782236230453,10339907431,,550,2,1710101228000
97,18007518494356088,1518311054,,1000,4,1710096284000
98,18012915056192026,583933066,,1000,1,1710150593000
99,18039715414704138,4555872776,,650,1,1710169417000
